3041563,42.505151,1.515062
291074,25.791111,55.942778
292223,25.252222,55.280000
292672,25.362222,55.391111
292913,24.191667,55.760556
292968,24.466667,54.366667
1123004,36.730000,69.530000
1131462,32.920000,66.630000
1133616,36.706944,67.112222
1134720,31.580000,64.360000
1135689,36.720000,68.860000
1136469,33.338056,69.920278
1138336,31.610000,65.700000
1138958,34.516667,69.183333
1139715,34.420000,70.450000
1140026,34.340000,62.190000
1141269,33.553555,68.426886
1141857,33.590000,69.220000
1142170,37.117500,70.579722
1142264,32.370000,62.110000
3576022,17.116667,-61.850000
3183875,41.327500,19.818889
616052,40.181111,44.513611
3513563,12.150000,-68.266667
145531,-9.650000,20.400000
145724,-8.416667,20.750000
876177,-10.700000,22.233333
2236568,-7.616667,15.050000
2236967,-6.133333,12.366667
2239862,-9.544722,16.345278
2240449,-8.838333,13.234444
2243271,-5.550000,12.200000
3346015,-11.200000,13.833333
3346821,-17.066667,15.733333
3347019,-15.196111,12.152222
3347719,-11.783333,19.916667
3347762,-14.916667,13.500000
3348078,-12.383333,16.933333
3348313,-12.776111,15.739167
3350246,-12.431389,13.547222
3351663,-12.578333,13.407222
3427833,-37.316667,-59.150000
3429577,-27.450000,-58.983333
3429594,-29.150000,-59.650000
3429777,-25.566667,-54.566667
3429886,-27.383333,-55.883333
3430443,-38.550000,-58.750000
3430708,-34.654444,-59.434444
3430709,-29.200000,-58.083333
3430863,-38.000000,-57.550000
3432043,-34.931389,-57.948889
3433658,-33.010278,-58.514167
3433715,-29.133333,-59.266667
3433899,-26.183333,-58.183333
3435217,-27.466667,-58.833333
3435261,-31.400000,-58.033333
3435910,-34.576126,-58.408813
3832899,-40.800000,-63.000000
3833367,-54.800000,-68.300000
3833883,-43.248954,-65.305052
3834601,-22.533333,-63.816667
3835869,-27.783333,-64.266667
3835994,-36.616667,-64.283333
3836277,-31.633333,-60.700000
3836564,-24.183333,-65.300000
3836620,-23.132230,-64.325981
3836669,-34.600000,-68.333333
3836873,-26.816667,-65.216667
3837056,-33.300000,-66.350000
3837213,-31.537500,-68.536389
3837702,-28.466667,-65.783333
3838233,-24.783333,-65.416667
3838583,-32.951111,-60.666389
3838859,-51.633333,-69.216667
3838874,-33.133333,-64.350000
3840092,-42.766667,-65.050000
3841956,-31.733333,-60.533333
3842670,-36.900000,-60.283333
3843123,-38.950000,-68.066667
3844421,-32.883333,-68.816667
3848950,-29.433333,-66.850000
3853354,-34.585000,-60.958889
3855065,-39.033333,-67.583333
3855075,-35.666667,-63.733333
3858677,-50.340750,-72.276821
3860164,-37.466667,-61.916667
3860259,-31.400000,-64.183333
3860443,-45.866667,-67.500000
3865086,-38.716667,-62.283333
5881576,-14.278060,-170.702500
2761369,48.208488,16.372075
2766824,47.800000,13.033333
2772400,48.306389,14.286111
2772827,47.483056,9.733056
2774326,46.624722,14.305278
2775220,47.266667,11.400000
2775742,47.366667,9.683056
2778067,47.066667,15.450000
2781503,47.500000,9.766667
2058430,-33.033333,137.583333
2060436,-19.650000,134.200000
2062276,-20.783333,117.133333
2063030,-33.183333,138.016667
2063036,-34.733333,135.866667
2063039,-14.250000,129.550000
2063042,-20.316667,118.566667
